x,y,z,d,N,Mr,Hc,Hcr
52,40,40,30,10,0.48866605,0.0359,0.0422392374731649
52,40,40,50,10,0.48991658,0.025,0.0352430619258729
52,40,40,70,10,0.49083238,0.02,0.032094646755258
52,40,40,100,10,0.49748331,0.0167,0.0319483787842244
55,50,50,0,1,0.81872415,0.00850000000000001,0.0168330486919787
55,50,50,1,10,0.48986797,0.0615,0.0714315132543894
55,50,50,2,10,0.48985952,0.0586,0.0722508593538485
55,50,50,3,10,0.48981852,0.0566,0.0672677815287851
55,50,50,5,10,0.48955483,0.0518,0.0622646141909319
55,50,50,7,10,0.48961557,0.0477,0.0572679266510545
55,50,50,10,10,0.48927886,0.0424,0.0522648439342614
55,50,50,15,10,0.48950193,0.036,0.0471162425132917
55,50,50,20,10,0.49007959,0.0304,0.0372542369924341
55,50,50,30,10,0.50237295,0.0234,0.0321006776801355
55,50,50,50,10,0.49749521,0.0153,0.0220843494635693
55,50,50,70,10,0.47274632,0.0103,0.0171812114998538
55,50,50,100,10,0.74209538,0.00780000000000003,0.0170308261292847
56,40,40,0,1,0.4928799,0.0188,0.0320761139705843
56,40,40,1,10,0.49044687,0.0804,0.0909926504434996
56,40,40,2,10,0.4902604,0.0772,0.089799318180726
56,40,40,3,10,0.49018199,0.075,0.0872645963706736
56,40,40,5,10,0.49003681,0.0697,0.0822634331097741
56,40,40,7,10,0.48985055,0.067,0.077258049731841
56,40,40,10,10,0.48956782,0.0622,0.0713764650379959
56,40,40,15,10,0.48911812,0.0563,0.062286327508401
56,40,40,20,10,0.48869209,0.0504,0.0562481798631269
56,40,40,30,10,0.48832419,0.0412,0.0472854986749094
56,40,40,50,10,0.48813368,0.0306,0.0421430259799131
56,40,40,70,10,0.48781365,0.0257,0.0371555336928918
56,40,40,100,10,0.48976813,0.0224,0.037026956797462
60,50,50,0,1,0.68442115,0.00659999999999999,0.0219316409326977
60,50,50,1,10,0.48994113,0.0685,0.0798526797533574
60,50,50,2,10,0.48978274,0.0662,0.0756875543272443
60,50,50,3,10,0.48971282,0.0632,0.0772387944470616
60,50,50,5,10,0.48947727,0.0593,0.0722387966077516
60,50,50,7,10,0.48938823,0.0561,0.0672646632968521
60,50,50,10,10,0.48868156,0.0513,0.0622471860834135
60,50,50,15,10,0.48814682,0.0448,0.0522935007896853
60,50,50,20,10,0.48760953,0.0391,0.0472859601498659
60,50,50,30,10,0.48695836,0.032,0.0421147029505864
60,50,50,50,10,0.48894902,0.0222,0.0295868663003935
60,50,50,70,10,0.49550661,0.0159,0.0270396396726996
60,50,50,100,10,0.50318296,0.0113,0.0220874007388047
60,60,60,1,10,0.48960726,0.0509,0.0574039540788961
60,60,60,2,10,0.48926814,0.0486,0.0572435642476676
60,60,60,3,10,0.48939461,0.0469000000000001,0.0523417874129401
60,60,60,5,10,0.48908518,0.0427,0.0473382478980425
60,60,60,7,10,0.48924625,0.0395,0.0451656807925896
60,60,60,10,1,0.85311179,0.00939999999999996,0.0119846933981781
60,60,60,10,10,0.48920914,0.0346,0.0421517049571163
60,60,60,15,10,0.49251196,0.0281,0.0336121295488543
60,60,60,20,10,0.50663158,0.0255,0.0272222271660267
60,60,60,30,10,0.49456753,0.0187,0.0220992574720188
60,60,60,50,10,0.44267477,0.0122,0.016876521236805
60,60,60,70,10,0.41227313,0.0102,0.0119769720642838
60,60,60,100,10,0.80536252,0.00930000000000003,0.0122535232608163
65,50,50,0,1,NaN,NaN,0.0269552746475997
65,50,50,1,10,0.48995239,0.0739,0.085133607337408
65,50,50,2,10,0.48977653,0.0715,0.080814119357694
65,50,50,3,10,0.48974142,0.0694,0.0803533625336137
65,50,50,5,10,0.48949029,0.0658,0.0755293804605118
